Character,Morse,Inputs,Length,ASCII (10)
E,.,100000,1,69
T,-,200000,1,84
A,.-,120000,2,65
H,….,111100,2,72
I,..,110000,2,73
M,--,220000,2,77
N,-.,210000,2,78
D,-..,211000,3,68
G,--.,221000,3,71
K,-.-,212000,3,75
O,---,222000,3,79
R,.-.,121000,3,82
S,...,111000,3,83
U,..-,112000,3,85
W,.--,122000,3,87
B,-...,211100,4,66
C,-.-.,212100,4,67
F,..-.,112100,4,70
J,.---,122200,4,74
L,.-..,121100,4,76
P,.--.,122100,4,80
Q,--.-,221200,4,81
V,...-,111200,4,86
X,-..-,211200,4,88
Y,-.--,212200,4,89
Z,--..,221100,4,90
0,-----,222220,5,48
1,.----,122220,5,49
2,..---,112220,5,50
3,...--,111220,5,51
4,....-,111120,5,52
5,.....,111110,5,53
6,-....,211110,5,54
7,--...,221110,5,55
8,---..,222110,5,56
9,----.,222210,5,57
",",--..--,221122,6,44
.,.-.-.-,121212,6,46
?,..--..,112211,6,63
